title,author,isbn,publicationYear,numberOfCopies
Introducing Critical Theory: A Graphic Guide,Stuart Sim,9781840469097,2004,9
A Crown of Swords: Book Seven of 'The Wheel of Time',Robert Jordan,9781429960571,2010,7
Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,9781473526853,2016,5
Platform Revolution: How Networked Markets Are Transforming the Economy—and How to Make Them Work for You,Geoffrey G. Parker,9780393249125,2016,8
The Red Signal: An Agatha Christie Short Story,Agatha Christie,9780007452170,2011,7
God of War: The Official Novelization,J.M. Barlog,9781789090154,2018,1
I Am Pilgrim: The bestselling Richard & Judy Book Club pick,Terry Hayes,9781448170609,2013,1
Getting Things Done: The Art of Stress-Free Productivity,David Allen,9780698161863,2015,9
The Eye of the World: Book One of 'The Wheel of Time',Robert Jordan,9781429959810,2000,9
The Daylight War: Book Three of The Demon Cycle,Peter V. Brett,9780345535658,2013,7
Candide,Voltaire,9781497684256,2015,2
The Vagrant (The Vagrant Trilogy),Peter Newman,9780007593101,2015,4
"Mistborn Trilogy: The Final Empire, The Well of Ascension, The Hero of Ages",Brandon Sanderson,9781429989817,2011,4
Dork Diaries: Spectacular Superstar,Rachel Renee Russell,9781471172816,2019,8
Final Option: 'The best one yet',Clive Cussler,9781405941020,2019,5
Batman: Year One,Frank Miller,9781401235888,2007,8
"The Complete Works of William Shakespeare: All 213 Plays, Poems, Sonnets, Apocryphal Plays + The Biography: The Life of William Shakespeare by Sidney Lee: Hamlet - Romeo and Juliet - King Lear - A Midsummer Night’s Dream - Macbeth - The Tempest - Othello and many more",William Shakespeare,9788026804758,2014,7
My Little Pony: Friendship is Magic #45,Thom Zahler,Original pages,2016,10
Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,9781473526853,2016,1
Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,9781429960748,2010,3
Riley Paige Mystery Bundle: Once Gone (#1) and Once Taken (#2),Blake Pierce,9781632917072,2016,2
Batman vs. Superman: The Greatest Battles,Geoff Johns,9781401266066,2015,1
"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,9780786956890,2010,5
Think Like a Freak: The Authors of Freakonomics Offer to Retrain Your Brain,Steven D. Levitt,9780062218360,2014,3
Immortal Hulk Vol. 1: Or Is He Both?,Al Ewing,9781302507169,2018,9
Her Royal Spyness,Rhys Bowen,9781101207369,2008,5
"Assassin’s Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,9780007374038,2011,1
The Art of Super Mario Odyssey,Nintendo,9781506713816,2019,3
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,9781476797502,2014,1
Blood Runs Cold: A completely unputdownable mystery and suspense thriller,Dylan Young,9781786814029,2018,1
Getting Things Done: The Art of Stress-Free Productivity,David Allen,9780698161863,2015,3
Her Royal Spyness,Rhys Bowen,9781101207369,2008,7
Shattered Bonds,Faith Hunter,9780399587993,2019,8
"The Lord of the Rings: The Fellowship of the Ring, The Two Towers, The Return of the King",J. R. R. Tolkien,9780007322596,2009,6
The Vagrant (The Vagrant Trilogy),Peter Newman,9780007593101,2015,7
Mighty Thor Vol. 2: Lords Of Midgard,Jason Aaron,9781302494605,2016,4
The Walking Dead: Compendium 1,Robert Kirkman,9781607066309,2009,2
"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,9780007369218,2011,2
"Mini Habits: Smaller Habits, Bigger Results",Stephen Guise,9780996435420,2013,1
Summary: The Compound Effect,Nine99 Innovation Lab,"Flowing text, Google-generated PDF",2019,9
The Shadow Rising: Book Four of 'The Wheel of Time',Robert Jordan,9781429960199,2010,8
Blood Runs Cold: A completely unputdownable mystery and suspense thriller,Dylan Young,9781786814029,2018,10
